time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-09 00:00:00+00:00,1.0,1.0,52,19
2024-12-10 00:00:00+00:00,1.0,1.0,76,23
2024-12-11 00:00:00+00:00,,,57,18
2024-12-12 00:00:00+00:00,,,69,12
2024-12-13 00:00:00+00:00,1.0,1.0,109,23
2024-12-14 00:00:00+00:00,1.0,1.0,31,7
2024-12-15 00:00:00+00:00,,,9,6
2024-12-16 00:00:00+00:00,1.0,1.0,24,10
2024-12-17 00:00:00+00:00,,,21,11
2024-12-18 00:00:00+00:00,4.0,2.0,75,16
2024-12-19 00:00:00+00:00,1.0,1.0,29,13
2024-12-20 00:00:00+00:00,3.0,2.0,56,10
2024-12-21 00:00:00+00:00,4.0,3.0,7,3
2024-12-22 00:00:00+00:00,,,1,1
