time_iso8601,stars_cumulative
2024-02-22 00:00:00+00:00,1
2024-03-06 00:00:00+00:00,2
2024-05-10 00:00:00+00:00,3
2024-08-19 00:00:00+00:00,4
2024-08-20 00:00:00+00:00,10
2024-08-21 00:00:00+00:00,13
2024-08-22 00:00:00+00:00,14
2024-08-26 00:00:00+00:00,15
2024-08-29 00:00:00+00:00,16
2024-09-08 00:00:00+00:00,17
2024-09-09 00:00:00+00:00,19
2024-09-10 00:00:00+00:00,21
2024-09-24 00:00:00+00:00,22
2024-10-08 00:00:00+00:00,23
2024-10-15 00:00:00+00:00,24
2024-10-24 00:00:00+00:00,25
2024-10-26 00:00:00+00:00,26
2024-10-28 00:00:00+00:00,27
2024-11-11 00:00:00+00:00,28
2024-11-13 00:00:00+00:00,29
2024-11-25 00:00:00+00:00,30
2024-11-27 00:00:00+00:00,31
2024-12-08 00:00:00+00:00,32
2024-12-10 00:00:00+00:00,33
2025-01-04 00:00:00+00:00,34
