time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-04 00:00:00+00:00,0,0,20,6
2024-12-05 00:00:00+00:00,0,0,39,16
2024-12-06 00:00:00+00:00,0,0,32,13
2024-12-07 00:00:00+00:00,0,0,3,3
2024-12-08 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,1,1,52,19
2024-12-10 00:00:00+00:00,1,1,76,23
2024-12-11 00:00:00+00:00,0,0,57,18
2024-12-12 00:00:00+00:00,0,0,69,12
2024-12-13 00:00:00+00:00,1,1,109,23
2024-12-14 00:00:00+00:00,1,1,31,7
2024-12-15 00:00:00+00:00,0,0,9,6
2024-12-16 00:00:00+00:00,1,1,24,10
2024-12-17 00:00:00+00:00,0,0,21,11
2024-12-18 00:00:00+00:00,4,2,75,16
2024-12-19 00:00:00+00:00,1,1,29,13
2024-12-20 00:00:00+00:00,3,2,56,10
2024-12-21 00:00:00+00:00,4,3,7,3
2024-12-22 00:00:00+00:00,1,1,1,1
2024-12-23 00:00:00+00:00,1,1,12,4
2024-12-24 00:00:00+00:00,1,1,3,3
